filepath,title,year
"Documents/ERIC ED039167_ Senior Elective Course on Contemporary Latin America_ Units I-VII_   %1968.txt","ERIC ED039167_ Senior Elective Course on Contemporary Latin America_ Units I-VII_   ",1968
"Documents/ERIC ED041005_ Language_ Composition_ and the Student_   %1970.txt","ERIC ED041005_ Language_ Composition_ and the Student_   ",1970
"Documents/ERIC ED042521_ Appalachian Regional Commission_ Annual Report 1969_   %1969.txt","ERIC ED042521_ Appalachian Regional Commission_ Annual Report 1969_   ",1969
"Documents/ERIC ED043397_ From Theory to Operations_ Disadvantaged Children and Their First School Experiences_ ETS-Head Start Longitudinal Study_   %1969.txt","ERIC ED043397_ From Theory to Operations_ Disadvantaged Children and Their First School Experiences_ ETS-Head Start Longitudinal Study_   ",1969
"Documents/ERIC ED043539_ Suggested Models for Developing Social Studies Comprehension_   %1970.txt","ERIC ED043539_ Suggested Models for Developing Social Studies Comprehension_   ",1970
"Documents/ERIC ED043620_ Aerospace-Oriented Units for Use in Humanities Classes_ Grades 7-12_   %1969.txt","ERIC ED043620_ Aerospace-Oriented Units for Use in Humanities Classes_ Grades 7-12_   ",1969
"Documents/ERIC ED048052_ The Social Studies in the Elementary School_   %1968.txt","ERIC ED048052_ The Social Studies in the Elementary School_   ",1968
"Documents/ERIC ED049105_ Project Canada West_ Interim Report_   %1971.txt","ERIC ED049105_ Project Canada West_ Interim Report_   ",1971
"Documents/ERIC ED050872_ Proceedings_ The Nevada Inter-tribal Indian Conference (University of Nevada_ May 1-2_ 1964)_   %1965.txt","ERIC ED050872_ Proceedings_ The Nevada Inter-tribal Indian Conference (University of Nevada_ May 1-2_ 1964)_   ",1965
"Documents/ERIC ED051063_ Catalogue of Materials_   %1969.txt","ERIC ED051063_ Catalogue of Materials_   ",1969
"Documents/ERIC ED052078_ On Conflict_ A Curriculum Unit with Comments_   %1970.txt","ERIC ED052078_ On Conflict_ A Curriculum Unit with Comments_   ",1970
"Documents/ERIC ED052730_ An Approach to Planning and Management Systems Implementation_   %1971.txt","ERIC ED052730_ An Approach to Planning and Management Systems Implementation_   ",1971
"Documents/ERIC ED052914_ An Analysis of Reading Comprehension Tests_ Final Report_   %1971.txt","ERIC ED052914_ An Analysis of Reading Comprehension Tests_ Final Report_   ",1971
"Documents/ERIC ED053731_ [Selected Papers From the Institute in Archival Librarianship_ University of Oregon_ September 22_ 1969 - August 14_ 1970_]   %1969.txt","ERIC ED053731_ [Selected Papers From the Institute in Archival Librarianship_ University of Oregon_ September 22_ 1969 - August 14_ 1970_]   ",1969
"Documents/ERIC ED054008_ A Teaching Guide and Experience Units K-12_ Social Studies_ Grade Four_   %1970.txt","ERIC ED054008_ A Teaching Guide and Experience Units K-12_ Social Studies_ Grade Four_   ",1970
"Documents/ERIC ED055960_ Microteaching_ Selected Papers_   %1971.txt","ERIC ED055960_ Microteaching_ Selected Papers_   ",1971
"Documents/ERIC ED057635_ Drei Wochen bei den Internationalen Sommerkursen in Erfurt_ 22_ Juli-11_ August 1968 (Three Weeks at the International Summer Courses i  %1969.txt","ERIC ED057635_ Drei Wochen bei den Internationalen Sommerkursen in Erfurt_ 22_ Juli-11_ August 1968 (Three Weeks at the International Summer Courses i  ",1969
"Documents/ERIC ED059226_ Art Education_ Creative Textile Design I (Tentative Course Outline)_   %1971.txt","ERIC ED059226_ Art Education_ Creative Textile Design I (Tentative Course Outline)_   ",1971
"Documents/ERIC ED059601_ A Self-Instructional System in Speech_   %1970.txt","ERIC ED059601_ A Self-Instructional System in Speech_   ",1970
"Documents/ERIC ED060789_ Women and Education_ A Feminist Perspective_   %1971.txt","ERIC ED060789_ Women and Education_ A Feminist Perspective_   ",1971
"Documents/ERIC ED061068_ The American Land_ Its History_ Soil_ Water_ Wildlife_ Agricultural Land Planning_ and Land Problems of Today and Tomorrow_   %1968.txt","ERIC ED061068_ The American Land_ Its History_ Soil_ Water_ Wildlife_ Agricultural Land Planning_ and Land Problems of Today and Tomorrow_   ",1968
"Documents/ERIC ED061251_ An Analysis of Recent Research Conferences in Art Education_ Final Report_   %1970.txt","ERIC ED061251_ An Analysis of Recent Research Conferences in Art Education_ Final Report_   ",1970
"Documents/ERIC ED062259_ American History_ The Multi-Concept Plan for High School_   %1971.txt","ERIC ED062259_ American History_ The Multi-Concept Plan for High School_   ",1971
"Documents/ERIC ED062919_ Collective Bargaining in U_S_ Higher Education_ 1960-1971_ A Selective Bibliography_   %1972.txt","ERIC ED062919_ Collective Bargaining in U_S_ Higher Education_ 1960-1971_ A Selective Bibliography_   ",1972
"Documents/ERIC ED063285_ Seventh Grade Social Studies_ A Program in Sociology and American History_   %1969.txt","ERIC ED063285_ Seventh Grade Social Studies_ A Program in Sociology and American History_   ",1969
"Documents/ERIC ED065738_ Annual Evaluation Report on Education Programs_ FY 1971_   %1972.txt","ERIC ED065738_ Annual Evaluation Report on Education Programs_ FY 1971_   ",1972
"Documents/ERIC ED065863_ The Bible as Literature_ English and Humanities_ 5114_79_   %1971.txt","ERIC ED065863_ The Bible as Literature_ English and Humanities_ 5114_79_   ",1971
"Documents/ERIC ED067573_ Status of Professional Women in Higher Education_   %1969.txt","ERIC ED067573_ Status of Professional Women in Higher Education_   ",1969
"Documents/ERIC ED067895_ Television and Educational Reform in El Salvador_ Complete Report on the Second Year of Research_   %1971.txt","ERIC ED067895_ Television and Educational Reform in El Salvador_ Complete Report on the Second Year of Research_   ",1971
"Documents/ERIC ED068429_ Chinese-Russian Study Center_ Bibliography of Materials (with Supplement Number 1)_   %1969.txt","ERIC ED068429_ Chinese-Russian Study Center_ Bibliography of Materials (with Supplement Number 1)_   ",1969
"Documents/ERIC ED071827_ Florida Migrant Health Project_ Fifth Annual Progress Report_ 1967-1968_   %1968.txt","ERIC ED071827_ Florida Migrant Health Project_ Fifth Annual Progress Report_ 1967-1968_   ",1968
"Documents/ERIC ED073035_ Iowa History_ A Guide to Resource Material_   %1972.txt","ERIC ED073035_ Iowa History_ A Guide to Resource Material_   ",1972
"Documents/ERIC ED074724_ Reflections on Two Media_   %1973.txt","ERIC ED074724_ Reflections on Two Media_   ",1973
"Documents/ERIC ED074846_ Selected Bibliography of Educational Materials in Pakistan_ Vol_ 5 No_ 2_ 1971_ Period Covered_ April-June 1971_   %1971.txt","ERIC ED074846_ Selected Bibliography of Educational Materials in Pakistan_ Vol_ 5 No_ 2_ 1971_ Period Covered_ April-June 1971_   ",1971
"Documents/ERIC ED075329_ Research and Publications in New York State History 1971-72_   %1972.txt","ERIC ED075329_ Research and Publications in New York State History 1971-72_   ",1972
"Documents/ERIC ED076330_ Commission on Undergraduate Education in the Biological Sciences News_ CUEBS_ 1963-1972_ Its History and Final Report_   %1972.txt","ERIC ED076330_ Commission on Undergraduate Education in the Biological Sciences News_ CUEBS_ 1963-1972_ Its History and Final Report_   ",1972
"Documents/ERIC ED076489_ Africa_ Sub-Sahara_ A Selected Functional and Country Bibliography_   %1972.txt","ERIC ED076489_ Africa_ Sub-Sahara_ A Selected Functional and Country Bibliography_   ",1972
"Documents/ERIC ED078705_ Content Analysis Schedule for Bilingual Education Programs_ Bilingual Education Center_   %1971.txt","ERIC ED078705_ Content Analysis Schedule for Bilingual Education Programs_ Bilingual Education Center_   ",1971
"Documents/ERIC ED079444_ A Bibliography of Doctoral Research on the Negro_ Supplement_ 1967-1969_   %1969.txt","ERIC ED079444_ A Bibliography of Doctoral Research on the Negro_ Supplement_ 1967-1969_   ",1969
"Documents/ERIC ED079490_ Increasing The Supply of Medical Personnel_ Needs and Alternatives_ Evaluative Studies Series_   %1973.txt","ERIC ED079490_ Increasing The Supply of Medical Personnel_ Needs and Alternatives_ Evaluative Studies Series_   ",1973
"Documents/ERIC ED080016_ Healdsburg Bilingual Education_ Content Analysis Schedule for Bilingual Education Programs_   %1972.txt","ERIC ED080016_ Healdsburg Bilingual Education_ Content Analysis Schedule for Bilingual Education Programs_   ",1972
"Documents/ERIC ED080023_ Santa Fe Bilingual-Bicultural Education Program_ Content Analysis Schedule for Bilingual Education Programs_   %1972.txt","ERIC ED080023_ Santa Fe Bilingual-Bicultural Education Program_ Content Analysis Schedule for Bilingual Education Programs_   ",1972
"Documents/ERIC ED080271_ Bibliography on the Native American Experience_   %1973.txt","ERIC ED080271_ Bibliography on the Native American Experience_   ",1973
"Documents/ERIC ED081395_ The Migration of the 1955-1965 Graduates of American Medical Schools_   %1973.txt","ERIC ED081395_ The Migration of the 1955-1965 Graduates of American Medical Schools_   ",1973
"Documents/ERIC ED081405_ The Effect of Different Sets of Instructions on Student Course and Instructor Evaluation_   %1973.txt","ERIC ED081405_ The Effect of Different Sets of Instructions on Student Course and Instructor Evaluation_   ",1973
"Documents/ERIC ED082479_ Financial Transactions of the Corporation for Public Broadcasting For Fiscal Year 1972_ Report to the Committee on Interstate and Forei  %1973.txt","ERIC ED082479_ Financial Transactions of the Corporation for Public Broadcasting For Fiscal Year 1972_ Report to the Committee on Interstate and Forei  ",1973
"Documents/ERIC ED083115_ National Seminar on the Diffusion of New Instructional Materials and Practices_ 4_0 Characteristics of the School_ What Are the Charact  %1973.txt","ERIC ED083115_ National Seminar on the Diffusion of New Instructional Materials and Practices_ 4_0 Characteristics of the School_ What Are the Charact  ",1973
"Documents/ERIC ED083889_ An Annotated Bibliography on University Planning and Development_   %1968.txt","ERIC ED083889_ An Annotated Bibliography on University Planning and Development_   ",1968
"Documents/ERIC ED084357_ Clarification of Workmen's Compensation Insurance_   %1973.txt","ERIC ED084357_ Clarification of Workmen's Compensation Insurance_   ",1973
"Documents/ERIC ED085328_ Teaching Ancient History_ A Question of Relevance_ Occasional Paper Number 74-1_   %1973.txt","ERIC ED085328_ Teaching Ancient History_ A Question of Relevance_ Occasional Paper Number 74-1_   ",1973
"Documents/ERIC ED086595_ The Civil War and Reconstruction_ Public Domain Edition_ Grade Ten_ Resource Unit IV_ Project Social Studies_   %1968.txt","ERIC ED086595_ The Civil War and Reconstruction_ Public Domain Edition_ Grade Ten_ Resource Unit IV_ Project Social Studies_   ",1968
"Documents/ERIC ED088660_ Country Profiles_ Hong Kong_   %1969.txt","ERIC ED088660_ Country Profiles_ Hong Kong_   ",1969
"Documents/ERIC ED088661_ Country Profiles_ Pakistan_   %1970.txt","ERIC ED088661_ Country Profiles_ Pakistan_   ",1970
"Documents/ERIC ED089417_ Participation and Representation in an Age of Decentralization and Alternatives_   %1974.txt","ERIC ED089417_ Participation and Representation in an Age of Decentralization and Alternatives_   ",1974
"Documents/ERIC ED091480_ Ways of Establishing and Funding Community Learning Centers_ Final Report_   %1971.txt","ERIC ED091480_ Ways of Establishing and Funding Community Learning Centers_ Final Report_   ",1971
"Documents/ERIC ED092439_ Report of the High School Curriculum Center in Government_ Final Report_   %1972.txt","ERIC ED092439_ Report of the High School Curriculum Center in Government_ Final Report_   ",1972
"Documents/ERIC ED092451_ Learning Activity Package_ Social Studies 113_ LAPs 19 Through 27_   %1973.txt","ERIC ED092451_ Learning Activity Package_ Social Studies 113_ LAPs 19 Through 27_   ",1973
"Documents/ERIC ED093607_ Using Gage Blocks as Measuring Standards_ Aviation Quality Control (Basic)_ 9225_03_   %1972.txt","ERIC ED093607_ Using Gage Blocks as Measuring Standards_ Aviation Quality Control (Basic)_ 9225_03_   ",1972
"Documents/ERIC ED094330_ Complexity of Typographical Cueing in Programed and Conventional Texts_ Technical Report_ No_ 7_   %1963.txt","ERIC ED094330_ Complexity of Typographical Cueing in Programed and Conventional Texts_ Technical Report_ No_ 7_   ",1963
"Documents/ERIC ED094680_ State Library History Bibliography Series; Nos_ 9_ 10_ 11_ 9_ A Bibliography of South Carolina Library History_ 10_ A Bibliography of M  %1973.txt","ERIC ED094680_ State Library History Bibliography Series; Nos_ 9_ 10_ 11_ 9_ A Bibliography of South Carolina Library History_ 10_ A Bibliography of M  ",1973
"Documents/ERIC ED094781_ Cable Television; A Bibliographic Review_   %1973.txt","ERIC ED094781_ Cable Television; A Bibliographic Review_   ",1973
"Documents/ERIC ED097241_ Checklist for Selecting and Evaluating U_S_ History Textbooks_   %1973.txt","ERIC ED097241_ Checklist for Selecting and Evaluating U_S_ History Textbooks_   ",1973
"Documents/ERIC ED098117_ The Social Science Teacher; Vol_ 4_ No_ 1_ Summer 1974_   %1974.txt","ERIC ED098117_ The Social Science Teacher; Vol_ 4_ No_ 1_ Summer 1974_   ",1974
"Documents/ERIC ED099030_ An Investigation of the Relationship Between Student Verbal Abilities and Performance in U_S_ History 151 Classes_   %1974.txt","ERIC ED099030_ An Investigation of the Relationship Between Student Verbal Abilities and Performance in U_S_ History 151 Classes_   ",1974
"Documents/ERIC ED099151_ Emerging Role of the Teacher Aide in Navajo Education_ A Guide Book_   %1974.txt","ERIC ED099151_ Emerging Role of the Teacher Aide in Navajo Education_ A Guide Book_   ",1974
"Documents/ERIC ED102618_ Oral History_ An Annotated Bibliography_   %1974.txt","ERIC ED102618_ Oral History_ An Annotated Bibliography_   ",1974
"Documents/ERIC ED103893_ Loomings_   %1975.txt","ERIC ED103893_ Loomings_   ",1975
"Documents/ERIC ED104235_ A History of Blacks in Higher Education_ 1875-1975_ A Working Bibliography_ Exchange Bibliography No_ 720_   %1975.txt","ERIC ED104235_ A History of Blacks in Higher Education_ 1875-1975_ A Working Bibliography_ Exchange Bibliography No_ 720_   ",1975
"Documents/ERIC ED104788_ Middle East_ Grade Six_ Unit Two_ 6_2_ Comprehensive Social Studies Curriculum for the Inner City_   %1971.txt","ERIC ED104788_ Middle East_ Grade Six_ Unit Two_ 6_2_ Comprehensive Social Studies Curriculum for the Inner City_   ",1971
"Documents/ERIC ED104789_ Czechoslovakia_ Grade Six_ Unit Three_ 6_3_ Comprehensive Social Studies Curriculum for the Inner City_   %1971.txt","ERIC ED104789_ Czechoslovakia_ Grade Six_ Unit Three_ 6_3_ Comprehensive Social Studies Curriculum for the Inner City_   ",1971
"Documents/ERIC ED105511_ Writing for a Reason_ A Telecourse in Freshman Composition_   %1975.txt","ERIC ED105511_ Writing for a Reason_ A Telecourse in Freshman Composition_   ",1975
"Documents/ERIC ED105945_ New Jersey Community Colleges--The First Ten Years_ 1963-1973; A Report of the New Jersey Council of County (Community) Colleges to the  %1975.txt","ERIC ED105945_ New Jersey Community Colleges--The First Ten Years_ 1963-1973; A Report of the New Jersey Council of County (Community) Colleges to the  ",1975
"Documents/ERIC ED107404_ The Story of Self-Help Enterprises [SHE]_ A History of Self-Help Housing in the San Joaquin Valley_   %1974.txt","ERIC ED107404_ The Story of Self-Help Enterprises [SHE]_ A History of Self-Help Housing in the San Joaquin Valley_   ",1974
"Documents/ERIC ED107767_ General Education_ Grades 10-12_   %1974.txt","ERIC ED107767_ General Education_ Grades 10-12_   ",1974
"Documents/ERIC ED108517_ Ethnic Boundaries_ Identity_ and Schooling_ A Socio-Cultural Study of Welsh-English Relations_   %1975.txt","ERIC ED108517_ Ethnic Boundaries_ Identity_ and Schooling_ A Socio-Cultural Study of Welsh-English Relations_   ",1975
"Documents/ERIC ED109723_ Educational Radio_ Information Bulletin 21-B_   %1975.txt","ERIC ED109723_ Educational Radio_ Information Bulletin 21-B_   ",1975
"Documents/ERIC ED111888_ Education_ the Dilemma of the Oriental American_   %1969.txt","ERIC ED111888_ Education_ the Dilemma of the Oriental American_   ",1969
"Documents/ERIC ED113254_ World Cultures_ Social Studies Grade Nine_   %1975.txt","ERIC ED113254_ World Cultures_ Social Studies Grade Nine_   ",1975
"Documents/ERIC ED113665_ Postsecondary Education Access Study_ Part III_ High School Graduates Follow-Up Study_ A Study Attempting to Find Out Why High School G  %1974.txt","ERIC ED113665_ Postsecondary Education Access Study_ Part III_ High School Graduates Follow-Up Study_ A Study Attempting to Find Out Why High School G  ",1974
"Documents/ERIC ED114975_ The Historical Role of Arizona's Superintendent of Public Instruction_ Volumes 1 and 2_   %1974.txt","ERIC ED114975_ The Historical Role of Arizona's Superintendent of Public Instruction_ Volumes 1 and 2_   ",1974
"Documents/ERIC ED115154_ Characteristics of Successful Campus Police Officers_ Research Report No_ 10-74_   %1974.txt","ERIC ED115154_ Characteristics of Successful Campus Police Officers_ Research Report No_ 10-74_   ",1974
"Documents/ERIC ED115573_ How to Develop a Learning Package Curriculum_   %1975.txt","ERIC ED115573_ How to Develop a Learning Package Curriculum_   ",1975
"Documents/ERIC ED116027_ Nursing and the Management Function_   %1975.txt","ERIC ED116027_ Nursing and the Management Function_   ",1975
"Documents/ERIC ED118656_ The Title I_ ESEA Program in Minneapolis_ 1974-75_ An Evaluation_   %1975.txt","ERIC ED118656_ The Title I_ ESEA Program in Minneapolis_ 1974-75_ An Evaluation_   ",1975
"Documents/ERIC ED119299_ Update on State-Wide School Finance Cases_ School Finance Project_   %1976.txt","ERIC ED119299_ Update on State-Wide School Finance Cases_ School Finance Project_   ",1976
"Documents/ERIC ED119452_ Regional Educational Assessment Diagnostic Services_ Concept to Action (R_E_A_D_S_)_ Practicum Report_ Maxi I_   %1975.txt","ERIC ED119452_ Regional Educational Assessment Diagnostic Services_ Concept to Action (R_E_A_D_S_)_ Practicum Report_ Maxi I_   ",1975
"Documents/ERIC ED120149_ National College Physical Education Association for Men_ Proceedings of Annual Meeting (69th_ Philadelphia_ Pennsylvania_ December 27-2  %1966.txt","ERIC ED120149_ National College Physical Education Association for Men_ Proceedings of Annual Meeting (69th_ Philadelphia_ Pennsylvania_ December 27-2  ",1966
"Documents/ERIC ED123971_ New Structure_ New Environment_ Council of Ontario Universities Review 1972-73 to 1974-75_   %1976.txt","ERIC ED123971_ New Structure_ New Environment_ Council of Ontario Universities Review 1972-73 to 1974-75_   ",1976
"Documents/ERIC ED124019_ Graduate Degree Survey Follow-up of Five Year Population (1969-1974)_   %1976.txt","ERIC ED124019_ Graduate Degree Survey Follow-up of Five Year Population (1969-1974)_   ",1976
"Documents/ERIC ED124340_ Rural America_ A Social and Educational History of Ten Communities_ Vol_ 1_   %1975.txt","ERIC ED124340_ Rural America_ A Social and Educational History of Ten Communities_ Vol_ 1_   ",1975
"Documents/ERIC ED125366_ Gratz College Bulletin_ 1975-1976_   %1975.txt","ERIC ED125366_ Gratz College Bulletin_ 1975-1976_   ",1975
"Documents/ERIC ED126687_ Germany Looks Towards U_S_ Bicentennial_   %1975.txt","ERIC ED126687_ Germany Looks Towards U_S_ Bicentennial_   ",1975
"Documents/ERIC ED126808_ Enrollment Projection Model_   %1976.txt","ERIC ED126808_ Enrollment Projection Model_   ",1976
"Documents/ERIC ED128107_ Indian Education and the Classroom Teacher_   %1961.txt","ERIC ED128107_ Indian Education and the Classroom Teacher_   ",1961
"Documents/ERIC ED129582_ Classroom Learning Centers_ Animals_ Levels A-D_ A Supplementary Approach for Teaching Science and Art_   %1975.txt","ERIC ED129582_ Classroom Learning Centers_ Animals_ Levels A-D_ A Supplementary Approach for Teaching Science and Art_   ",1975
"Documents/ERIC ED134152_ GPN Instructional Television Packages_   %1976.txt","ERIC ED134152_ GPN Instructional Television Packages_   ",1976
"Documents/ERIC ED136262_ Teaching Afro-American Literature as a Revolutionary Force_   %1976.txt","ERIC ED136262_ Teaching Afro-American Literature as a Revolutionary Force_   ",1976
"Documents/ERIC ED137185_ Learning with Each Other_   %1977.txt","ERIC ED137185_ Learning with Each Other_   ",1977
"Documents/ERIC ED137187_ Man_ Education_ and Society_ The Year 2000_ A Report of the 1974 Institute for Chief State School Officers_   %1975.txt","ERIC ED137187_ Man_ Education_ and Society_ The Year 2000_ A Report of the 1974 Institute for Chief State School Officers_   ",1975
"Documents/ERIC ED137920_ Alaskan Interregional Cost Differentials_ An Examination of Costs of Living_ Public School Foundation Program Instructional Unit Allotm  %1977.txt","ERIC ED137920_ Alaskan Interregional Cost Differentials_ An Examination of Costs of Living_ Public School Foundation Program Instructional Unit Allotm  ",1977
"Documents/ERIC ED138425_ BUNTEP_ The Profile of a Teacher Education Project_   %1976.txt","ERIC ED138425_ BUNTEP_ The Profile of a Teacher Education Project_   ",1976
"Documents/ERIC ED142617_ Bilingual Education in the United States_   %1975.txt","ERIC ED142617_ Bilingual Education in the United States_   ",1975
"Documents/ERIC ED143605_ Research Papers Sponsored by the Commission on Private Philanthropy and Public Needs_ Volume III_ Special Behavioral Studies_ Foundatio  %1977.txt","ERIC ED143605_ Research Papers Sponsored by the Commission on Private Philanthropy and Public Needs_ Volume III_ Special Behavioral Studies_ Foundatio  ",1977
"Documents/ERIC ED148084_ Child Abuse_Neglect_ A Guide for Detection_ Prevention_ and Treatment in Bureau of Community Health Services (BCHS) Programs and Projec  %1977.txt","ERIC ED148084_ Child Abuse_Neglect_ A Guide for Detection_ Prevention_ and Treatment in Bureau of Community Health Services (BCHS) Programs and Projec  ",1977
"Documents/ERIC ED148990_ Speech by Drew S_ Days_ III_ before the National Conference of Black Lawyers_ Baton Rouge_ Louisiana_   %1978.txt","ERIC ED148990_ Speech by Drew S_ Days_ III_ before the National Conference of Black Lawyers_ Baton Rouge_ Louisiana_   ",1978
"Documents/ERIC ED150686_ College Courses in the High School_   %1978.txt","ERIC ED150686_ College Courses in the High School_   ",1978
"Documents/ERIC ED151004_ How to Find Out in_ Music_   %1976.txt","ERIC ED151004_ How to Find Out in_ Music_   ",1976
"Documents/ERIC ED151677_ Teaching Learning Strategies_   %1977.txt","ERIC ED151677_ Teaching Learning Strategies_   ",1977
"Documents/ERIC ED159116_ Literature Search_ Reference File and Compendium of Instructional Materials for Citizen Education_ Final Report_   %1978.txt","ERIC ED159116_ Literature Search_ Reference File and Compendium of Instructional Materials for Citizen Education_ Final Report_   ",1978
"Documents/ERIC ED162872_ Studies in Mathematics_ Volume XI_ Mathematical Methods in Science_   %1963.txt","ERIC ED162872_ Studies in Mathematics_ Volume XI_ Mathematical Methods in Science_   ",1963
"Documents/ERIC ED163843_ The View from an Inside Closet_ Annual Report_ 1977-78_   %1978.txt","ERIC ED163843_ The View from an Inside Closet_ Annual Report_ 1977-78_   ",1978
"Documents/ERIC ED174542_ Equal Justice Under Law_ The Supreme Court in American Life_   %1975.txt","ERIC ED174542_ Equal Justice Under Law_ The Supreme Court in American Life_   ",1975
"Documents/ERIC ED178389_ Report on the _Caesar Unit_-1964 [and] Some Linguistic Skills for History Students_ Occasional Papers No_ 1 and No_ 2_   %1965.txt","ERIC ED178389_ Report on the _Caesar Unit_-1964 [and] Some Linguistic Skills for History Students_ Occasional Papers No_ 1 and No_ 2_   ",1965
"Documents/ERIC ED187555_ An Energy Curriculum for the Middle Grades_ Unit Two_ Energy and American History With Adaptations for Science_ Language Arts_ Practica  %1980.txt","ERIC ED187555_ An Energy Curriculum for the Middle Grades_ Unit Two_ Energy and American History With Adaptations for Science_ Language Arts_ Practica  ",1980
"Documents/ERIC ED193558_ College and Other Stepping Stones_ A Study of Learning Experiences That Contribute to Effective Performance in Early and Long-Run Jobs_  %1980.txt","ERIC ED193558_ College and Other Stepping Stones_ A Study of Learning Experiences That Contribute to Effective Performance in Early and Long-Run Jobs_  ",1980
"Documents/ERIC ED194312_ An Annotated List of Historically and Scientifically Important Works Published Before 1900 in the Library of The National Bureau of Sta  %1977.txt","ERIC ED194312_ An Annotated List of Historically and Scientifically Important Works Published Before 1900 in the Library of The National Bureau of Sta  ",1977
"Documents/ERIC ED196013_ Oral Histories as Living Literature_   %1980.txt","ERIC ED196013_ Oral Histories as Living Literature_   ",1980
"Documents/ERIC ED199180_ Studying the Leaders of Classical Antiquity_   %1981.txt","ERIC ED199180_ Studying the Leaders of Classical Antiquity_   ",1981
"Documents/ERIC ED200441_ The Explorer's Guide to the Universe_ A Reading List for Planetary and Space Science_   %1980.txt","ERIC ED200441_ The Explorer's Guide to the Universe_ A Reading List for Planetary and Space Science_   ",1980
"Documents/ERIC ED200665_ Short Term Effects of Human Relations Training (HR-18)_ A Pre-Post Evaluation Study_   %1980.txt","ERIC ED200665_ Short Term Effects of Human Relations Training (HR-18)_ A Pre-Post Evaluation Study_   ",1980
"Documents/ERIC ED204429_ Unitas_ Hispanic and Black Children in a Healing Community_ Monograph No_ 6_   %1981.txt","ERIC ED204429_ Unitas_ Hispanic and Black Children in a Healing Community_ Monograph No_ 6_   ",1981
"Documents/ERIC ED205205_ Status Report of Public Broadcasting_ 1980_   %1981.txt","ERIC ED205205_ Status Report of Public Broadcasting_ 1980_   ",1981
"Documents/ERIC ED205621_ Desegregation_ [CEMREL Paper 2]_   %1980.txt","ERIC ED205621_ Desegregation_ [CEMREL Paper 2]_   ",1980
"Documents/ERIC ED206208_ Symbolism and Survival in Developing Organizations_ Regional Colleges in Israel_   %1981.txt","ERIC ED206208_ Symbolism and Survival in Developing Organizations_ Regional Colleges in Israel_   ",1981
"Documents/ERIC ED207882_ Experiential Education as a Teaching Strategy_   %1981.txt","ERIC ED207882_ Experiential Education as a Teaching Strategy_   ",1981
"Documents/ERIC ED209414_ Integrating Black Studies into Existing Social Studies Curriculum_ A Model Unit_   %1968.txt","ERIC ED209414_ Integrating Black Studies into Existing Social Studies Curriculum_ A Model Unit_   ",1968
"Documents/ERIC ED216420_ Comparative Chronemics and Diplomacy_ American and Iranian Perspectives on Time_   %1982.txt","ERIC ED216420_ Comparative Chronemics and Diplomacy_ American and Iranian Perspectives on Time_   ",1982
"Documents/ERIC ED217245_ Introduction to the Parts Counter Trade_ Pre-Apprenticeship Phase 1 Training_   %1979.txt","ERIC ED217245_ Introduction to the Parts Counter Trade_ Pre-Apprenticeship Phase 1 Training_   ",1979
"Documents/ERIC ED218000_ The National Evaluation of School Nutrition Programs_ Review of Research_ Volume 1_   %1981.txt","ERIC ED218000_ The National Evaluation of School Nutrition Programs_ Review of Research_ Volume 1_   ",1981
"Documents/ERIC ED218172_ Teaching Family History_ Papers from Old Sturbridge Village_   %1981.txt","ERIC ED218172_ Teaching Family History_ Papers from Old Sturbridge Village_   ",1981
"Documents/ERIC ED220194_ The Politics of Family Day Care_ Legislatively What Can Be Done_   %1981.txt","ERIC ED220194_ The Politics of Family Day Care_ Legislatively What Can Be Done_   ",1981
"Documents/ERIC ED226476_ Controls and Consequences_ Balancing Regulation and Education_   %1982.txt","ERIC ED226476_ Controls and Consequences_ Balancing Regulation and Education_   ",1982
"Documents/ERIC ED227830_ Academic Computing at Worcester Polytechnic Institute_ A Case Study_   %1978.txt","ERIC ED227830_ Academic Computing at Worcester Polytechnic Institute_ A Case Study_   ",1978
"Documents/ERIC ED229460_ Community Environments and Parent Participation [with Appendices]_   %1980.txt","ERIC ED229460_ Community Environments and Parent Participation [with Appendices]_   ",1980
"Documents/ERIC ED232401_ Special Education and Linguistic Minority Students_ The Historical Bases of Discriminatory Practices_   %1983.txt","ERIC ED232401_ Special Education and Linguistic Minority Students_ The Historical Bases of Discriminatory Practices_   ",1983
"Documents/ERIC ED237668_ Towards an Authentic Development_ The Role of Adult Education_ Report on the International Council for Adult Education Conference (Pari  %1982.txt","ERIC ED237668_ Towards an Authentic Development_ The Role of Adult Education_ Report on the International Council for Adult Education Conference (Pari  ",1982
"Documents/ERIC ED241183_ The Black Child_ Some Sociocultural Considerations_   %1979.txt","ERIC ED241183_ The Black Child_ Some Sociocultural Considerations_   ",1979
"Documents/ERIC ED244401_ School Finance and Energy through the Year 2000_   %1984.txt","ERIC ED244401_ School Finance and Energy through the Year 2000_   ",1984
"Documents/ERIC ED249725_ Preschool Special Education_ Research _ Resources on Special Education_ Issue V_   %1984.txt","ERIC ED249725_ Preschool Special Education_ Research _ Resources on Special Education_ Issue V_   ",1984
"Documents/ERIC ED249824_ Comparative Analysis of College Freshmen by Major Field of Study_ A Changing Profile_   %1984.txt","ERIC ED249824_ Comparative Analysis of College Freshmen by Major Field of Study_ A Changing Profile_   ",1984
